──────────────────────────────────────────────────────────────────────────
INFOMED Fetch Details by MED_ID — parallel HTTP-only
──────────────────────────────────────────────────────────────────────────
  filter:       ervp
  parallel:     3
  rateLimitMs:  300
  resume:       false
  limit:        (no limit)
  dryRun:       false

[1] Listagem carregada: 9656 rows
[2] Cross-match com ERP (Outros Medicamentos)...
(node:12380) Warning: SECURITY WARNING: The SSL modes 'prefer', 'require', and 'verify-ca' are treated as aliases for 'verify-full'.
In the next major version (pg-connection-string v3.0.0 and pg v9.0.0), these modes will adopt standard libpq semantics, which have weaker security guarantees.

To prepare for this change:
- If you want the current behavior, explicitly use 'sslmode=verify-full'
- If you want libpq compatibility now, use 'uselibpqcompat=true&sslmode=require'

See https://www.postgresql.org/docs/current/libpq-ssl.html for libpq SSL mode definitions.
(Use `node --trace-warnings ...` to show where the warning was created)
    ERP keys distintas: 2141
    Cross-match listagem: 5242 de 9656 (54.3%)

[3] Lançar 3 workers para 5242 MED_IDs...
  [w3 #3675] medId=6466 "Orap Forte" ATC=N05AG02 CNPs=2   (357ms)
  [w2 #3700] medId=7512 "Reumoxican" ATC=M01AC01 CNPs=4   (425ms)
  [w1 #3725] medId=642283 "Pitavastatina Krka MG" ATC=C10AA08 CNPs=4   (549ms)
  [w1 #3750] medId=580300 "Oprymea MG" ATC=N04BC05 CNPs=3   (367ms)
  [w3 #3775] medId=619769 "Pravastatina Generis MG" ATC=C10AA03 CNPs=2   (412ms)
  [w2 #3800] medId=36776 "Pravastatina Zentiva MG" ATC=C10AA03 CNPs=2   (349ms)
  [w1 #3825] medId=597808 "Pregabalina Azevedos MG" ATC=N02BF02 CNPs=1   (418ms)
  [w3 #3850] medId=624243 "Pregabalina Generis MG" ATC=N02BF02 CNPs=1   (376ms)
  [w3 #3875] medId=587449 "Pregabalina ratiopharm MG" ATC=N02BF02 CNPs=2   (388ms)
  [w2 #3900] medId=598067 "Pregabalina Viatris MG" ATC=N02BF02 CNPs=1   (416ms)
  [w3 #3925] medId=4473 "Inderal" ATC=C07AA05 CNPs=4   (476ms)
  [w1 #3950] medId=599526 "Quetiapina Aurovitas MG" ATC=N05AH04 CNPs=1   (361ms)
  [w3 #3975] medId=48523 "Quetiapina Pentafarma MG" ATC=N05AH04 CNPs=6   (462ms)
  [w1 #4000] medId=45372 "Seroquel SR" ATC=N05AH04 CNPs=2   (390ms)
  [w3 #4025] medId=30916 "Triatec" ATC=C09AA05 CNPs=2   (357ms)
  [w3 #4050] medId=673404 "Ranolazina Zentiva MG" ATC=C01EB18 CNPs=1   (364ms)
  [w3 #4075] medId=598023 "Risedronato de Sódio Aurovitas" ATC=M05BA07 CNPs=1   (349ms)
  [w3 #4100] medId=38665 "Risperidona Genedec 1 mg Compr" ATC=N05AX08 CNPs=2   (363ms)
  [w3 #4125] medId=43841 "Risperidona Pharmakern" ATC=N05AX08 CNPs=2   (653ms)
  [w2 #4150] medId=38127 "Risperidona toLife 3 mg Compri" ATC=N05AX08 CNPs=1   (397ms)
  [w1 #4175] medId=682606 "Rivaroxabano Pentafarma MG" ATC=B01AF01 CNPs=3   (429ms)
  [w1 #4200] medId=696505 "Rivaroxabano toLife MG" ATC=B01AF01 CNPs=5   (638ms)
  [w1 #4225] medId=731284 "Exelon (DP Agon Pharma)" ATC=N06DA03 CNPs=1   (396ms)
  [w2 #4250] medId=50061 "Rivastigmina Sandoz" ATC=N06DA03 CNPs=1   (637ms)
  [w2 #4275] medId=49189 "Ropinirol Generis Phar MG" ATC=N04BC04 CNPs=4   (524ms)
  [w1 #4300] medId=593884 "Rosuvastatina Aurovitas MG" ATC=C10AA07 CNPs=1   (392ms)
  [w1 #4325] medId=587774 "Rosuvastatina Pharmakern MG" ATC=C10AA07 CNPs=2   (464ms)
  [w2 #4350] medId=607503 "Rosuvastatina toLife MG" ATC=C10AA07 CNPs=2   (667ms)
  [w3 #4375] medId=642147 "Rosumibe" ATC=C10BA06 CNPs=3   (419ms)
  [w2 #4400] medId=695346 "Rosuvastatina + Ezetimiba TAD" ATC=C10BA06 CNPs=1   (483ms)
  [w1 #4425] medId=682884 "Rosafen" ATC=C10BA09 CNPs=1   (341ms)
  [w1 #4450] medId=615923 "Rupatadina Generis MG" ATC=R06AX28 CNPs=1   (386ms)
  [w2 #4475] medId=714484 "Saxagliptina Generis MG" ATC=A10BH03 CNPs=1   (632ms)
  [w2 #4500] medId=7864 "Sertopic" ATC=D01AC14 CNPs=4   (357ms)
  [w2 #4525] medId=619287 "Sildenafil Generis MG" ATC=G04BE03 CNPs=2   (366ms)
